,Wikipedia_features,wikipedia_featurs_No,twitter_features,twitter_featurs_No,kaggle_features,kaggle_featurs_No,youtube_features,youtube_featurs_No
1883,it it,77.94838683706084,ravenhuwolf,5.128208826441705,the guy,4.061833885100048,it with,3.9884524540342574
1884,an encyclopedia,77.94022505685794,is about,5.127632637805945,where the,4.05995423977301,piece of,3.9883702501431064
1885,bottom,77.93845636986974,example of,5.125882272974135,to find,4.059135113683786,they will,3.986202946592485
1886,you feel,77.84733995449956,tho,5.1258809678565065,has the,4.055686756530335,get to,3.9861510396887914
1887,weeks,77.8181438674398,people to,5.122390207587534,million,4.0480722204434505,the second,3.984872501089305
1888,added to,77.80954551027853,killed by,5.121904355984176,act like,4.046734941728136,alright,3.984864102200774
1889,edit summary,77.70495754448908,elimination mkr,5.121034348916298,to win,4.046644204444319,is your,3.983381492752376
1890,keeps,77.55058202020679,stay in,5.119247579564557,rourke,4.045365789184198,of shit,3.983230133247845
1891,agree that,77.550229623938,shaofhappiness,5.117155395381374,rourke needs,4.045365789184198,did not,3.980108887978188
1892,released,77.43737332992691,tikrit,5.116265771347803,fucking like,4.045365789184198,31,3.980086838545865
1893,discussion page,77.23326915355989,burn,5.1155698041720585,above,4.039067835891512,missed,3.97986456706977
1894,apologize,77.210859844914,ethics,5.114274164572667,homo,4.0335495806186765,your not,3.978555045471822
1895,controversial,77.19741984964305,defend,5.111529441886846,don want,4.030249284237292,middle,3.9768443563264553
1896,concerns,77.17238904455586,owais00,5.107949427261926,reasons,4.0273114964191725,who the,3.9728473830937006
1897,event,77.15783029231504,room,5.104130186562257,green,4.026766407788407,quit,3.967138582069228
1898,finally,77.14900987564076,ibnhlophe eeviewonders,5.101212128028885,let the,4.025962691742674,lil wayne,3.96537667729616
1899,child,77.14041365579648,you ll,5.1011407669095385,can see,4.023396745186073,lol so,3.9623045282507783
1900,characters,77.07534525757484,under the,5.101010518384835,and make,4.023103004658156,up in,3.9612131321248825
1901,considering,77.06665726758972,see the,5.100233865873988,but that,4.023046273929189,who are,3.9589078752093214
1902,does it,77.01834046123257,it up,5.0987049320278555,ppl,4.022270931981682,must have,3.957615855192981
1903,give me,76.94606109575233,accounts,5.095886388732347,to him,4.020569439625507,but she,3.9570314085455527
1904,huge,76.92122953661008,it has,5.094556617425639,cking,4.020481076954657,so pretty,3.9528234472827743
1905,excuse,76.8991944045849,taste,5.092768604208387,so many,4.014556139339817,you sound,3.9516271034718056
1906,extremely,76.8633358049557,system,5.09148043632383,google,4.014263792619524,choice,3.951468089672719
1907,and also,76.85007163336377,before the,5.089379672179758,you is,4.009187804799449,oh god,3.9497711629864543
1908,scientific,76.79113220105765,there mkr,5.0880422187648815,you from,4.0091131067604495,happy birthday,3.949271497276436
1909,before you,76.75165496194087,through mkr,5.084149643338665,to my,4.007699631681843,he had,3.9488680255302833
1910,football,76.73204802917141,looked,5.083402287742189,not going,4.005829424584814,tomorrow,3.9477221210182183
1911,know you,76.72738394477076,make the,5.0830064772306365,000,4.005823780322032,than you,3.9424468827502994
1912,the very,76.70718724240658,to it,5.081533362712993,huge,4.005778022529493,__,3.9402282623933806
1913,what they,76.69359396987784,named,5.08081791139932,defending,4.005307173961715,are they,3.9396511116708886
1914,lie,76.68122503094969,them in,5.079804015096854,old are,4.00473784868456,can sing,3.9348129724606316
1915,what it,76.63655313887969,women to,5.078980100105778,me to,4.004277130271883,huh,3.9284677011919586
1916,version of,76.62943632970315,continue,5.0765175251441566,and what,4.0024531177138725,did the,3.926916735358669
1917,age,76.62364610148337,pictures,5.0762258052918385,shit about,4.000658528939225,for all,3.9261906242803453
1918,in it,76.57042833936605,forget,5.069664312163014,over it,3.997146877860033,tears,3.92607201323871
1919,speaking,76.51554654264866,finish,5.065988904814068,if she,3.9935718678351946,is actually,3.925642632985392
1920,you fucking,76.43644765526545,enjoy,5.064087940325997,that will,3.9934150864708697,she just,3.9241199441302745
1921,to work,76.43015260435065,trigger_check,5.06390583683764,muslims,3.992641700696029,quality,3.92218463163462
1922,will have,76.42185987508104,convert,5.063749139840354,very much,3.991609204389744,came out,3.921146087211213
1923,court,76.42122692836469,possible,5.061209493486482,hours,3.990426088846107,dubstep,3.9158776087780174
1924,appears to,76.41794329465593,my favorite,5.060333960383367,down and,3.989372416430317,ftw,3.9154943144459113
1925,be added,76.41360025034598,believe that,5.058020586237654,en,3.98933756310458,pain,3.9150077244813
1926,belong,76.27722630763047,secret,5.0514865297657,ah,3.98920784788356,model,3.9130937395534597
1927,mark,76.24265186379287,important,5.044793054270731,coach,3.979368232685167,sounded,3.912555407153456
1928,the facts,76.18089638345387,asked,5.04172688214492,wont,3.9787416406036153,that song,3.908491727252952
1929,metal,76.14148101417219,glennf,5.035997691340111,skin,3.978518922460512,got it,3.907503057935375
1930,protection,76.12079456253035,but that,5.032656600934841,plan,3.976166382922076,hey guys,3.903429031151447
1931,and can,76.10481079946945,just got,5.032326561388259,it so,3.9759886200608174,sent,3.9031495972581984
1932,this will,76.10159983738134,now you,5.029919094292263,that all,3.97567001366464,with her,3.902231778370037
1933,experience,76.09391796802775,was just,5.029642122352928,ideas,3.967498737521313,so he,3.901487488148484
1934,would not,76.09372923324632,islamist,5.028131056675638,nthis,3.9662034546386806,thailand,3.900489547737552
1935,1px,76.06074942046578,all mkr,5.021694490198482,this site,3.9655537631280735,everyday,3.8980055643030767
1936,information on,76.0438988800208,lisamromano,5.018237654637568,we should,3.962658456037832,on that,3.897845871970288
1937,despite,75.99577540982403,rule,5.013496441290892,android,3.960132601311212,05,3.89677322451056
1938,referring,75.99229568078681,laws,5.009849346087432,sleep,3.957900090623853,swag,3.8964840184851792
1939,that am,75.97675587647676,no they,5.008332361892754,honest,3.957675959532687,spanish,3.893589785844915
1940,detail,75.96102541541326,ice,5.006781867323356,sometimes,3.957203095672503,him and,3.891733182643134
1941,to look,75.9210918218612,eva,5.006172241751832,earth,3.9570465602252263,bass,3.890244705126657
1942,meet,75.90630355221323,pie,5.001223373305676,planet,3.955816969669343,good but,3.887006050496351
1943,mention of,75.85117520275185,for it,4.99955490224074,match,3.951493236104352,you on,3.8850011244201137
1944,behaviour,75.78959480123426,live in,4.998826146927998,you been,3.9502508934471794,are going,3.884431216103084
1945,not going,75.74024653971044,the one,4.997326254136212,come out,3.9479883830851175,don want,3.883628641970199
1946,which was,75.71637594126824,amp lloyd,4.995559878081592,fox news,3.946733235805183,wish could,3.8820366572749294
1947,agenda,75.65823305994095,will never,4.9946427284961885,he said,3.9449272373825823,to sing,3.8810108009917212
1948,how you,75.5942671431754,they get,4.99391070990406,tired,3.944820603705599,babies,3.880512668567642
1949,and should,75.57893169165763,for 1400,4.9922098130790875,disqus xa0,3.9448144753611114,grade,3.8789710168346234
1950,fag,75.54799117994615,eh,4.9895255811341785,re welcome,3.943262281025776,you made,3.8780128388225354
1951,results,75.53624450329508,tarah,4.986426330334577,hang,3.943101966702968,kim,3.876433621775228
1952,me you,75.48637569951522,it on,4.986308696223068,make me,3.942111080208472,are really,3.87568755447984
1953,stop if,75.46519087352776,strong,4.9860363033729405,wanted to,3.9420865763147535,on her,3.875075451517664
1954,and no,75.39163977584506,putting,4.984182448288029,you serious,3.9370695151775803,posting,3.873405783010328
1955,vandalize pages,75.36994468058636,retweet,4.975867505448439,matter how,3.9358499599116095,put it,3.8718432390929247
1956,my opinion,75.35623497116723,up the,4.973913688036097,11,3.931605058161845,of us,3.8690760572033
1957,align middle,75.27149256778496,taliban,4.970266574720534,it says,3.930958603139892,waiting for,3.8681114451961087
1958,no problem,75.25229065244628,sleep,4.9691511413718406,england,3.929303287459708,is too,3.864612355564253
1959,find it,75.20869821262781,twitterkurds http,4.9674028412380205,xa0how,3.9286100290093846,intro,3.860316751665428
1960,factual,75.17233546766523,gaters,4.966669620923075,drink,3.927958684004413,know why,3.8574817424564425
1961,bot,75.12737858099301,mattybboi83,4.963476139516377,negative,3.927538863574735,other people,3.8551409596223496
1962,that article,75.1240894028596,truaemusic mattybboi83,4.963476139516377,take it,3.921358280493089,what he,3.85230220650599
1963,basically,75.11693659179457,mattybboi83 number10gov,4.963476139516377,spelling,3.921141820286908,can believe,3.8521846672664415
1964,cover,75.11496634442031,isra_jourisra,4.961844024110885,don let,3.920160294667304,very nice,3.849922855371258
1965,using the,75.01517436659803,ya,4.9617490523858345,re dumb,3.9185558372976654,star,3.849675496652925
1966,you must,75.00728752087358,confused,4.960270500697237,clinton,3.918509778344433,is on,3.8488032242749366
1967,admit,75.0015471732097,second,4.959443408178367,pic,3.918387378659293,beats,3.8480020427820407
1968,bastard,75.00082569726055,except,4.953572696348403,to try,3.917086545754557,got to,3.8464553479678414
1969,the reference,74.94129270769342,rt benpobjie,4.949480906490237,pot,3.91703010336775,join,3.84564625338389
1970,your comments,74.90402687089491,mkr2015 http,4.946418446214749,is still,3.9160397044620687,him to,3.843857716724437
1971,have made,74.86707743044072,know you,4.944676780222384,the government,3.916019117883252,did this,3.8424756486612335
1972,the rules,74.83294175691577,dudes,4.943831802656828,budget,3.9112143787769695,press,3.8406044503250087
1973,article as,74.81642950875876,meat,4.943711707110288,the new,3.907988273505152,what did,3.839420919040178
1974,featured,74.70552913660141,sell,4.942231901935653,redneck,3.9071760240674074,porn,3.838618585592472
1975,this to,74.699719543013,amohedin halalflaws,4.9414553229666085,missing,3.9064304990827696,makes you,3.837910425390495
1976,his own,74.66192337476038,crime against,4.940797195420682,doesn make,3.905311379098998,react,3.837421910881193
1977,muslim,74.65363557857965,against cooking,4.940797195420682,pictures,3.9033750538142495,bye,3.836093185624547
1978,1px solid,74.60862625745058,dabiq_warrior,4.940636109605744,god bless,3.903137427905017,god bless,3.8360866942171015
1979,contributing to,74.60803571749094,wing,4.940382247627258,corrupt,3.900883997180504,didn know,3.832351055953717
1980,and as,74.6051767031201,un,4.939659187943126,it but,3.900256938758606,them and,3.8321426332266255
1981,if not,74.59265853022755,washingtonpost,4.936517181633596,character,3.899335537169509,needed,3.8303911896679614
1982,is good,74.50734540295564,cherguiambark,4.9364037975178015,chris,3.896453648057773,will get,3.8265819120653695
1983,is going,74.49762338295862,roflmao,4.935806958703749,that not,3.8959461199162138,all my,3.8252047246107104
1984,college,74.48705729554626,200,4.934307236653817,legal,3.8954566144748037,but im,3.822595251089808
1985,with wikipedia,74.42807901863294,sumersloan,4.9340081953355615,you doing,3.893540804089524,pure,3.822416067997135
1986,the person,74.40596132154245,etsho127,4.9340081953355615,fuck out,3.891200886400742,http,3.820288267518489
1987,do this,74.39331251686029,major,4.931606963443904,buddy,3.886925863748467,near,3.818379581863436
1988,killed,74.3875492113111,do they,4.93101017670684,average,3.8855259776100532,so awesome,3.818031800498085
1989,them to,74.37776717415214,short,4.929294813627961,flying,3.8827289181785463,drunk,3.8156772201124736
1990,information about,74.3730309404424,fan of,4.924781080719352,moms,3.882653235306013,aw,3.814009302569635
1991,uploaded,74.36870918037374,of his,4.923668881058437,screw you,3.8826247635025384,bang,3.813861372043292
1992,it looks,74.36760979118341,kick,4.923628562958063,ground,3.8818566212538967,is still,3.813710083922352
1993,of being,74.36271759011339,oldkhayyam,4.915976842010078,nare,3.8802757925818425,james,3.8131734305516543
1994,article was,74.3349042744658,and now,4.9146930264848585,here and,3.879316853367342,my brother,3.812538718197224
1995,you seem,74.2774407656388,johnnygjokaj bilalighumman,4.910289097108987,handle,3.878911550298418,lol the,3.811475885835665
1996,independent,74.24586286096711,rate,4.903998591581958,such an,3.877515352887351,but just,3.809453656783642
1997,nature,74.24371310711989,names,4.900531954906682,to her,3.871239134077973,it love,3.8071177346127594
1998,century,74.21880969865859,re going,4.89627274552593,youre,3.8707610288497776,history,3.8056041268077303
1999,article for,74.20219186356174,rt ravenhuwolf,4.895557479406093,be one,3.8659180700324267,shoot,3.804373920636999
2000,so the,74.14080031704466,bag,4.886709487242782,showing,3.8651553500601,had the,3.8041600257089145
2001,happens,74.13072735649754,alternet maxblumenthal,4.885034591189754,the us,3.864506568400864,you that,3.803263814426501
2002,these are,74.1047909994307,vicky and,4.882319125475057,yesterday,3.861365103049281,you even,3.802063486307184
2003,bunch,74.10358500414307,several,4.881308230023604,too bad,3.860628145954703,park,3.80161929990352
2004,background color,74.0777413890453,so it,4.879467124696212,welfare,3.8600409692323576,excited,3.799273702217103
2005,particularly,74.04753324569585,this shit,4.879115925574868,doesnt,3.858490914853357,the sound,3.7990168682684957
2006,service,74.00621756230353,am so,4.876442825296817,si,3.858194848513735,bar,3.7964690096880704
2007,field,73.97904135156223,points,4.873102944712971,will have,3.851040803135631,full of,3.791274468189772
2008,wrong with,73.960553429488,protect,4.872867643454488,victim,3.848066828498528,just me,3.7903175281134422
2009,russian,73.9397719961928,original,4.871100062432769,when your,3.8470668861782147,worry,3.790237520556948
2010,do the,73.92434145341342,fourinhand,4.869320676012281,page,3.845710837540631,date,3.788572482749397
2011,against the,73.90322329840798,crusades,4.851392903291711,than that,3.845449370269992,fuck the,3.7852188412082732
2012,bother,73.87273455330283,produce,4.849939708616777,so hard,3.84485095997109,bed,3.7831829757830095
2013,reality,73.85870861317848,hating,4.849191164834068,useless,3.844361610067932,the lyrics,3.7811853421960575
2014,go ahead,73.82655719716428,that kat,4.847689967352952,lmfao,3.8438315252505117,tell you,3.7775333551799695
2015,that my,73.7401077310749,young,4.843549105909756,him and,3.8423365126320665,that your,3.7734491266620487
2016,reason to,73.64648203876456,barbaric,4.842066174840659,whites,3.84153273341898,06,3.773353237569117
2017,when they,73.57961513382726,mass,4.840658484088512,response,3.8399425124860813,problems,3.772665065264808
2018,to talk,73.57531008808124,justice,4.840567364367368,spent,3.8397197993953776,size,3.770203851473552
2019,fair use,73.56977615582873,delicious,4.839268982689803,moronic,3.8383698250835985,worked,3.766797277908623
2020,phrase,73.54100840251145,stephenatwar,4.836148976945336,people to,3.836147553734173,have that,3.7661982497504067
2021,send,73.52402297550556,love it,4.835948221867397,any other,3.8334249266581,tt,3.765432521609156
2022,wording,73.45104479070393,liver,4.834157112776032,so it,3.8323336422731673,ik,3.7652274608706633
2023,and get,73.40345487247907,gold,4.8325511136459385,last year,3.827592435387962,after the,3.7637980707166903
2024,effort,73.34760862290219,looking for,4.830523329321443,no way,3.826175839571423,video was,3.7630352569580334
2025,stub,73.30964797328001,fingers,4.830494113509741,plus,3.8255823250442575,so true,3.7588303712061695
2026,during the,73.29685659113719,handle,4.830019070084795,that have,3.822718999902471,truly,3.757515301546163
2027,may not,73.27887797089402,they want,4.829744146369341,what about,3.8226566594905633,it doesn,3.757457823100592
2028,surely,73.2693131140562,you need,4.829524797205578,yinzerinct,3.820804316901168,23,3.755086476680344
2029,cases,73.26637563347576,wins,4.829421692941564,the economy,3.816477423346152,that why,3.7550518078015087
2030,apply,73.20392606568359,americans,4.8289181978122,box,3.8112243672703863,is why,3.7541915919332496
2031,26,73.11335446753341,trouble,4.821504686021697,out your,3.8098440483686855,piano,3.7535505123978137
2032,basis,73.09602751389119,garbage,4.820572600402847,re going,3.8096517208546254,you must,3.7518271755666617
2033,barnstar,73.07945409643192,does that,4.817945505771616,medical,3.8086648118531543,she can,3.7499925491408814
2034,join,73.07881184312546,all you,4.814929435371374,xa0 your,3.8041588025197246,deep,3.7470408424561614
2035,immediately,73.05561520753938,dessert mkr,4.814779711409076,to pay,3.802496005507269,dem,3.746360523652147
2036,had been,72.97139235709527,understand that,4.810604806951148,explain,3.80241777690584,remind,3.7461129593952736
2037,the english,72.95587999737664,india,4.807323212725416,letting,3.796276344274353,be my,3.7455392536937766
2038,user talk,72.94908316280609,christmas,4.806116217781118,plain,3.796085806198736,so cool,3.745363556906677
2039,how the,72.90837950925909,moment,4.8055210693425945,sentence,3.793955650608902,sorry but,3.7448733659604843
2040,me of,72.89140127878656,why is,4.804237877190246,democrat,3.7916903864396714,genius,3.7445529745419504
2041,reason for,72.85649620810449,waiting for,4.804202550282136,pass,3.791016622248623,lol he,3.7441028732733055
2042,ignorant,72.84338710118915,insane,4.8035059726779314,get you,3.7907176331765617,right to,3.7437410189482927
2043,to show,72.83095800506864,nimoy,4.795219385962914,negro,3.78611809966878,that girl,3.7433600402299407
2044,popular,72.81482465865956,married,4.793985924772584,does it,3.7846529319772815,he looks,3.741768458389668
2045,local,72.81058455658909,no it,4.79020564937392,offensive,3.782584507384412,hmm,3.7386662769947674
2046,board,72.79674337639494,kats,4.7872316643963915,think they,3.780295035231767,to that,3.738124383522875
2047,log,72.7470904652329,winner,4.78516439692458,articles,3.780264394790772,jenna,3.7367599621947303
2048,club,72.73601874705352,assiye61,4.784870685625463,that little,3.779572661731488,spend,3.736238719204616
2049,quotes,72.64868134377002,jwyoder,4.783322976206248,total,3.7773488382981317,im going,3.732917946530145
2050,european,72.62122855642531,including,4.779881270484035,in fact,3.771705522113415,low,3.7320384803301834
2051,who have,72.58714614798973,however,4.77911215048341,18,3.77151406922934,cant wait,3.731789631948761
2052,air,72.58445689917241,it for,4.776317373459385,in our,3.7696106823280386,brought me,3.731534420847869
2053,long as,72.56961964368313,class,4.776041114874193,logical,3.7692442414023337,este,3.729555750606023
2054,is all,72.55737403444805,helping,4.7754164656339375,thoughts,3.768784181339712,ball,3.7292260997246682
2055,luck,72.52401344491774,with them,4.774571781309348,often,3.7680044167884335,my school,3.724776603975491
2056,spam,72.4980674616194,barbarity of,4.771426585691959,justice,3.767889127728294,concert,3.7211653899329713
2057,is only,72.48379857038287,imam,4.771395680953092,website,3.766181032834336,zombie,3.719658591639029
2058,are all,72.46335343247937,gotta,4.771365683150023,fly,3.7652655063740657,mama,3.719583420032552
2059,diff,72.44320444700364,gay,4.770098022224741,your team,3.7641119668596175,taken,3.7189287730391296
2060,month,72.42585771356555,are now,4.769695938328524,jealous,3.7620558539776217,proud of,3.7184259326509097
2061,social,72.41036282200854,reports,4.764918187799949,me and,3.759905237066244,natural,3.717613389519973
2062,going on,72.34339762040335,to this,4.764751665850129,nobama,3.758465905378985,correct,3.7166222928694452
2063,quit,72.34254294608327,exterminate,4.764613274634863,obama is,3.758122039809298,favourite,3.710353112387062
2064,ga,72.32200016944874,islamolunatics,4.7638604481339595,the day,3.757246749359119,americans,3.7097166961997257
2065,because he,72.26018040825663,give me,4.758977559582056,to it,3.7557427741950162,music video,3.7059672842325546
2066,threats,72.23224938831038,htt,4.758651094447026,you cant,3.7533611272040455,ops,3.704603380148416
2067,blog,72.2265686837556,are on,4.753889406531108,debt,3.75276708968096,come back,3.7036385638462384
2068,time and,72.21870445716544,hated,4.752938001734401,to start,3.751560886006268,badass,3.7029466496725214
2069,the matter,72.21827748736277,solution,4.750288007601489,there was,3.748397279610167,ahhh,3.702129187919256
2070,there were,72.21213929514974,absolute,4.749822941365771,crawl,3.747319818260821,how it,3.701505485276777
2071,places,72.20070255822829,hates,4.7489537755542965,difference,3.7426064031742055,classic,3.6947099464361775
2072,you the,72.18839539629036,ability,4.748692196599488,feeling,3.7415100443892535,light,3.6941357526400846
2073,takes,72.16195840177423,so we,4.742573592942297,that what,3.7408966685635376,online,3.6938954360460055
2074,center,72.15492413556858,schools,4.739784579707057,the shit,3.7394179531465697,tim,3.693356892179615
2075,involved in,72.1520693216213,we ll,4.738919195260285,light,3.7384984117477216,doubt,3.692187457797605
2076,since it,72.11663061792652,existed,4.738850502055116,that bitch,3.737744282976601,deserves,3.690846079082709
2077,mostly,71.9714497844916,choose,4.736347029297703,was in,3.737174096425636,bored,3.6901875301264435
2078,you in,71.93680937227825,to live,4.734595332682041,dumb ass,3.7348567111966062,the police,3.687605503182797
2079,sucks,71.91566920701784,more instant,4.733255756903524,spending,3.73473335052214,ca,3.6862131835381926
2080,moron,71.86112718406359,screen,4.731786075277894,con,3.7325649587853236,rihanna,3.6861301084291274
2081,likes,71.85799803357965,catwalk,4.727049156866008,not just,3.730797120724128,chill,3.682798947516551
2082,president,71.85117134946192,community,4.7255462994020645,horse,3.7307596599549218,have ever,3.6826008613850294
2083,in some,71.72737340350956,we all,4.719610276885483,br,3.729632065584412,lovely,3.6820490529079533
2084,through the,71.71898293399184,becoming,4.718867806998962,chicago,3.728874337598029,rapper,3.6811830293608248
2085,this case,71.70335354495617,jews and,4.7185325674711525,the middle,3.7265263297665543,to find,3.6802445793729714
2086,discussions,71.69844287294816,conversation,4.7181458936117,fucking idiot,3.7231239957304263,or just,3.6773684036797083
2087,all that,71.6539890197198,stopped,4.7170769091421105,makes me,3.7226536249991833,she said,3.672927782793348
2088,japanese,71.6048394497856,pawarnhoff,4.708369802228376,it like,3.720564989620213,lame,3.6704604119437385
2089,across,71.59244823752655,animals,4.703669994235511,to kill,3.720055205174359,my birthday,3.670026008432767
2090,count,71.59132591601008,of what,4.701644871613462,tho,3.7198893851096853,matter what,3.6687331431515986
2091,reader,71.56897201588151,rage,4.6981894885155375,your mind,3.7196747985159235,it lol,3.6673100634047175
2092,to leave,71.5223155062286,moron,4.697410044417671,next time,3.7193782325770304,entire,3.666016791945293
2093,ps,71.50656165091769,women http,4.6968491137222586,based on,3.7186785395003294,fit,3.664031262104488
2094,west,71.49441394780501,love___egypt washingtonpost,4.6966904488018235,should get,3.7137257309539597,ve ever,3.6637655702950216
2095,29,71.48691829273753,yemen,4.695225910506223,no idea,3.71095657855146,female,3.6629525056490717
2096,showing,71.41765540523753,to try,4.695151633156554,down to,3.710936977003248,evil,3.661169109707024
2097,brought,71.37478794698534,in her,4.694463239850079,smack,3.7077907400922263,ain,3.65989697351428
2098,deserve,71.33758794275873,halalflaws greenlinerzjm,4.693360630262355,who you,3.7076566133155104,lots,3.6589405580231515
2099,that one,71.29147605713716,rigged mkr,4.690618731650473,don worry,3.7068377146700926,dan,3.658482458688377
2100,offensive,71.25374638746298,the shia,4.689521393774706,can take,3.70554034525085,op,3.6565071405577214
2101,and how,71.21881562488484,so hard,4.6860053085611035,you never,3.7043916326054487,walk,3.653931431995281
2102,all you,71.16576624704476,ideas,4.685988772788749,end of,3.701209694860791,was on,3.6512681795130177
2103,please use,71.15635938844609,executed,4.685982975459671,the worst,3.696390802983904,good song,3.649912096604647
2104,discussing,71.11917312881549,of jews,4.682725728570631,even know,3.6936424187837402,its so,3.6460846960217017
2105,perfectly,71.06175297842228,as the,4.6815760589345325,size,3.692949187475449,obvious,3.6447306551737952
2106,suggested,71.06014125440251,has never,4.6808342746812,you better,3.6927154367632364,know who,3.6418726629016667
2107,referring to,71.04224947871617,provide,4.679494815752298,female,3.690759038918668,these videos,3.641456618090292
2108,the real,70.91845486728418,she was,4.678844956959873,including,3.6905378144345846,to try,3.6412336150445177
2109,and do,70.8703242387292,seem to,4.674636480754104,citizens,3.6889646523422743,on here,3.639747461988661
2110,the official,70.84751691369765,innocent,4.670822804248278,to come,3.688374512201696,don care,3.637746721574043
2111,flag,70.80820816147593,food mkr,4.670050139312535,nget,3.686802747924328,shane,3.6371912004427305
2112,for some,70.77939570490352,ukraine,4.666420103054967,books,3.6830251437488406,this made,3.637057432062149
2113,you had,70.7755114707099,are doing,4.664696814690257,the story,3.6818096463892926,so it,3.6362073551010345
2114,silly,70.64881107787625,pnibbler,4.661707828117357,proven,3.679598500746022,government,3.635683679843325
2115,legitimate,70.62840761907296,pnibbler alternet,4.661707828117357,scumbag,3.679351066584169,great song,3.6353200399407424
2116,said that,70.62811770064339,er,4.660031256596822,current,3.679316821079385,is wrong,3.6344717058479796
2117,forum,70.61875011539894,form,4.658878068841663,xa0 ni,3.6761124478805427,usually,3.63131293191792
2118,knew,70.58806286720451,full of,4.655449252366501,to defend,3.675969137167365,review,3.629284075326096
2119,maybe you,70.56788007936112,davidsgallant,4.653546307761928,said that,3.675865985810824,so amazing,3.6284683997878666
2120,warned,70.56311749178823,talks,4.653219168671057,ban,3.663909026268188,good for,3.6278351929293846
2121,besides,70.49374963778328,hold,4.653197942227216,cost,3.661140186425202,me up,3.627159582333873
2122,the place,70.4868418621423,former,4.652898037335803,forgot,3.6594776705272754,pls,3.6255243143670333
2123,police,70.46788491599922,can get,4.650122688752979,it seems,3.658406315139648,get this,3.6211024900426025
2124,fully,70.38054446902655,loving,4.6474142399701615,after the,3.6575008424007818,to die,3.6208104384953694
2125,and my,70.37258492214933,model,4.645320387746897,the ass,3.6557312230664114,bad for,3.6166812672981816
2126,vs,70.36188387394071,with their,4.6421163923621975,the ball,3.654954372567935,pretty much,3.616411534015045
2127,none of,70.35733729142687,mkr tonight,4.641891411158193,prick,3.654329546879286,jajaja,3.614610483486041
2128,hold,70.34856149941963,to read,4.6408537884917695,trade,3.6541620426031463,turned,3.612483254028669
2129,27,70.34557712806473,mohammed did,4.640208798625887,pure,3.654061384050024,the title,3.61213422939232
2130,rest of,70.30760114139838,silence,4.636650684811327,chelsea,3.6534834172141415,smoking,3.6102385682067903
2131,james,70.27278022073021,sending,4.635804740550979,shirt,3.6491916946884393,del,3.6090522914966856
2132,don care,70.26183904310982,the women,4.6347663325793,long as,3.6481946168374377,song at,3.6068196889945736
2133,and now,70.2434930172763,the idea,4.631052665062703,banned,3.6479798649467488,mais,3.606467246576056
2134,star,70.19927114828334,bullshit mkr,4.6293346260031525,ignore,3.6462462938926543,remix,3.605366801352495
2135,usage,70.19100236543868,cry,4.6266108857106465,accept,3.643524714884504,how they,3.6050449769262927
2136,it that,70.18287559262303,to isis,4.622044390545229,company,3.6434674331121113,video you,3.604831949971328
2137,concerned,70.13748939200983,so that,4.614103124072341,elected,3.6430769450128078,sean,3.601166744007189
2138,value,70.10289517585103,himself,4.609464881624176,say the,3.641525884540862,what it,3.6009581739409864
2139,updated,70.10127170364876,next round,4.608387615503066,talented,3.6403789649131633,door,3.5999378352287787
2140,to understand,70.0674195390996,no http,4.606628119068617,none of,3.6390652081495865,up you,3.5997439738233905
2141,in their,70.0502558774426,photo,4.601720396164437,like him,3.6376899535940153,speed,3.599666116323384
2142,verifiable,70.01732680607857,eeviewonders ctfleamarkets,4.600703795262298,is better,3.6366806981277513,we need,3.59961061157062
2143,know it,70.01579188173079,to leave,4.596719257085651,point is,3.6358695696470766,actual,3.5994046650053577
2144,format,69.98640292880454,ffs,4.595905119526049,is why,3.6321749637073255,how he,3.5982139462361067
2145,ideas,69.97050958032295,sources,4.59492612478609,retards,3.63164518015696,legal,3.5967608146545107
2146,east,69.9580797813449,14,4.594681873756953,iphone,3.6314985460259495,your life,3.595197536609399
2147,the topic,69.95234678227318,defending,4.594095090246816,kinda,3.6313089136289567,just made,3.5946797954040317
2148,kept,69.91164310360453,like to,4.593233033230387,slap,3.6289144326792484,but then,3.5925011610247606
2149,stating,69.90221808818167,worried,4.590355030670711,is very,3.6286147525639962,legit,3.592496585962371
2150,to improve,69.88506586833196,that there,4.589918949194818,broken,3.6266287184222814,why does,3.5888982683291744
2151,race,69.87844742835772,sunni,4.5879261341258735,george,3.6255289912739777,ps,3.5846369701306773
2152,couple of,69.87265590007439,right mkr,4.586879465589648,you call,3.6251196250338453,that not,3.5844823057811825
2153,you keep,69.85502530262906,turning,4.585876447298158,acting like,3.623804020105717,excellent,3.5844751622890896
2154,been blocked,69.84351572649523,love that,4.5840337164735905,for not,3.6229394023207004,just want,3.58377451367024
2155,dog,69.82531246190521,bruciebabe maxblumenthal,4.578537731972292,listening,3.6224087992013545,his voice,3.5828823222638326
2156,where you,69.78135120212292,colonelkickhead,4.577964228420509,noh,3.6221750553670784,none,3.580476543429881
2157,here to,69.7700735985797,died,4.577907172842762,fit,3.6202252876972025,appreciate,3.578777413703139
2158,2006 utc,69.67177873302487,are being,4.576729019156644,save,3.6193061322310554,jackson,3.576289119620227
2159,have some,69.66606467511228,come from,4.572725065378617,link,3.618567844426572,all day,3.5752629905445983
2160,it so,69.62707455043147,bahai144,4.57102054172972,and now,3.618308847135002,was not,3.574848327773183
